id,tag,img_path
0,a,..\..\..\data\cropped-by-semantic-tag\0.png
1,a,..\..\..\data\cropped-by-semantic-tag\1.png
2,header,..\..\..\data\cropped-by-semantic-tag\2.png
3,button,..\..\..\data\cropped-by-semantic-tag\3.png
4,button,..\..\..\data\cropped-by-semantic-tag\4.png
5,a,..\..\..\data\cropped-by-semantic-tag\5.png
6,header,..\..\..\data\cropped-by-semantic-tag\6.png
7,h1,..\..\..\data\cropped-by-semantic-tag\7.png
8,form,..\..\..\data\cropped-by-semantic-tag\8.png
9,input,..\..\..\data\cropped-by-semantic-tag\9.png
10,input,..\..\..\data\cropped-by-semantic-tag\10.png
11,h2,..\..\..\data\cropped-by-semantic-tag\11.png
12,h2,..\..\..\data\cropped-by-semantic-tag\12.png
13,h2,..\..\..\data\cropped-by-semantic-tag\13.png
14,form,..\..\..\data\cropped-by-semantic-tag\14.png
15,input,..\..\..\data\cropped-by-semantic-tag\15.png
16,a,..\..\..\data\cropped-by-semantic-tag\16.png
17,button,..\..\..\data\cropped-by-semantic-tag\17.png
18,button,..\..\..\data\cropped-by-semantic-tag\18.png
19,button,..\..\..\data\cropped-by-semantic-tag\19.png
20,button,..\..\..\data\cropped-by-semantic-tag\20.png
21,h1,..\..\..\data\cropped-by-semantic-tag\21.png
22,a,..\..\..\data\cropped-by-semantic-tag\22.png
23,a,..\..\..\data\cropped-by-semantic-tag\23.png
24,a,..\..\..\data\cropped-by-semantic-tag\24.png
25,a,..\..\..\data\cropped-by-semantic-tag\25.png
26,a,..\..\..\data\cropped-by-semantic-tag\26.png
27,a,..\..\..\data\cropped-by-semantic-tag\27.png
28,h1,..\..\..\data\cropped-by-semantic-tag\28.png
29,button,..\..\..\data\cropped-by-semantic-tag\29.png
30,button,..\..\..\data\cropped-by-semantic-tag\30.png
31,button,..\..\..\data\cropped-by-semantic-tag\31.png
32,h2,..\..\..\data\cropped-by-semantic-tag\32.png
33,a,..\..\..\data\cropped-by-semantic-tag\33.png
34,button,..\..\..\data\cropped-by-semantic-tag\34.png
35,button,..\..\..\data\cropped-by-semantic-tag\35.png
36,header,..\..\..\data\cropped-by-semantic-tag\36.png
37,a,..\..\..\data\cropped-by-semantic-tag\37.png
38,header,..\..\..\data\cropped-by-semantic-tag\38.png
39,h1,..\..\..\data\cropped-by-semantic-tag\39.png
40,a,..\..\..\data\cropped-by-semantic-tag\40.png
41,h2,..\..\..\data\cropped-by-semantic-tag\41.png
42,h3,..\..\..\data\cropped-by-semantic-tag\42.png
43,h3,..\..\..\data\cropped-by-semantic-tag\43.png
44,h4,..\..\..\data\cropped-by-semantic-tag\44.png
45,h4,..\..\..\data\cropped-by-semantic-tag\45.png
46,h4,..\..\..\data\cropped-by-semantic-tag\46.png
47,h4,..\..\..\data\cropped-by-semantic-tag\47.png
48,h4,..\..\..\data\cropped-by-semantic-tag\48.png
49,h4,..\..\..\data\cropped-by-semantic-tag\49.png
50,h4,..\..\..\data\cropped-by-semantic-tag\50.png
51,h4,..\..\..\data\cropped-by-semantic-tag\51.png
52,h4,..\..\..\data\cropped-by-semantic-tag\52.png
53,h4,..\..\..\data\cropped-by-semantic-tag\53.png
54,h4,..\..\..\data\cropped-by-semantic-tag\54.png
55,h4,..\..\..\data\cropped-by-semantic-tag\55.png
56,h4,..\..\..\data\cropped-by-semantic-tag\56.png
57,h4,..\..\..\data\cropped-by-semantic-tag\57.png
58,h4,..\..\..\data\cropped-by-semantic-tag\58.png
59,h4,..\..\..\data\cropped-by-semantic-tag\59.png
60,h4,..\..\..\data\cropped-by-semantic-tag\60.png
61,h4,..\..\..\data\cropped-by-semantic-tag\61.png
62,h4,..\..\..\data\cropped-by-semantic-tag\62.png
63,h4,..\..\..\data\cropped-by-semantic-tag\63.png
64,h4,..\..\..\data\cropped-by-semantic-tag\64.png
65,h4,..\..\..\data\cropped-by-semantic-tag\65.png
66,h4,..\..\..\data\cropped-by-semantic-tag\66.png
67,h4,..\..\..\data\cropped-by-semantic-tag\67.png
68,h4,..\..\..\data\cropped-by-semantic-tag\68.png
69,h4,..\..\..\data\cropped-by-semantic-tag\69.png
70,h4,..\..\..\data\cropped-by-semantic-tag\70.png
71,h4,..\..\..\data\cropped-by-semantic-tag\71.png
72,h4,..\..\..\data\cropped-by-semantic-tag\72.png
73,h4,..\..\..\data\cropped-by-semantic-tag\73.png
74,h4,..\..\..\data\cropped-by-semantic-tag\74.png
75,h4,..\..\..\data\cropped-by-semantic-tag\75.png
76,h4,..\..\..\data\cropped-by-semantic-tag\76.png
77,h4,..\..\..\data\cropped-by-semantic-tag\77.png
78,h4,..\..\..\data\cropped-by-semantic-tag\78.png
79,h4,..\..\..\data\cropped-by-semantic-tag\79.png
80,h4,..\..\..\data\cropped-by-semantic-tag\80.png
81,h4,..\..\..\data\cropped-by-semantic-tag\81.png
82,h4,..\..\..\data\cropped-by-semantic-tag\82.png
83,h4,..\..\..\data\cropped-by-semantic-tag\83.png
84,h4,..\..\..\data\cropped-by-semantic-tag\84.png
85,h4,..\..\..\data\cropped-by-semantic-tag\85.png
86,h4,..\..\..\data\cropped-by-semantic-tag\86.png
87,h4,..\..\..\data\cropped-by-semantic-tag\87.png
88,h4,..\..\..\data\cropped-by-semantic-tag\88.png
89,h4,..\..\..\data\cropped-by-semantic-tag\89.png
90,h4,..\..\..\data\cropped-by-semantic-tag\90.png
91,h4,..\..\..\data\cropped-by-semantic-tag\91.png
92,h4,..\..\..\data\cropped-by-semantic-tag\92.png
93,h4,..\..\..\data\cropped-by-semantic-tag\93.png
94,h4,..\..\..\data\cropped-by-semantic-tag\94.png
95,h4,..\..\..\data\cropped-by-semantic-tag\95.png
96,h4,..\..\..\data\cropped-by-semantic-tag\96.png
97,h4,..\..\..\data\cropped-by-semantic-tag\97.png
98,h4,..\..\..\data\cropped-by-semantic-tag\98.png
99,h4,..\..\..\data\cropped-by-semantic-tag\99.png
100,h4,..\..\..\data\cropped-by-semantic-tag\100.png
101,h4,..\..\..\data\cropped-by-semantic-tag\101.png
102,h4,..\..\..\data\cropped-by-semantic-tag\102.png
103,h4,..\..\..\data\cropped-by-semantic-tag\103.png
104,h4,..\..\..\data\cropped-by-semantic-tag\104.png
105,h4,..\..\..\data\cropped-by-semantic-tag\105.png
106,h4,..\..\..\data\cropped-by-semantic-tag\106.png
107,h4,..\..\..\data\cropped-by-semantic-tag\107.png
108,h4,..\..\..\data\cropped-by-semantic-tag\108.png
109,h4,..\..\..\data\cropped-by-semantic-tag\109.png
110,h4,..\..\..\data\cropped-by-semantic-tag\110.png
111,h4,..\..\..\data\cropped-by-semantic-tag\111.png
112,h4,..\..\..\data\cropped-by-semantic-tag\112.png
113,h4,..\..\..\data\cropped-by-semantic-tag\113.png
114,h4,..\..\..\data\cropped-by-semantic-tag\114.png
115,h4,..\..\..\data\cropped-by-semantic-tag\115.png
116,h4,..\..\..\data\cropped-by-semantic-tag\116.png
117,h4,..\..\..\data\cropped-by-semantic-tag\117.png
118,h4,..\..\..\data\cropped-by-semantic-tag\118.png
119,h4,..\..\..\data\cropped-by-semantic-tag\119.png
120,h4,..\..\..\data\cropped-by-semantic-tag\120.png
121,h4,..\..\..\data\cropped-by-semantic-tag\121.png
122,h4,..\..\..\data\cropped-by-semantic-tag\122.png
123,h4,..\..\..\data\cropped-by-semantic-tag\123.png
124,h4,..\..\..\data\cropped-by-semantic-tag\124.png
125,h4,..\..\..\data\cropped-by-semantic-tag\125.png
126,h4,..\..\..\data\cropped-by-semantic-tag\126.png
127,h4,..\..\..\data\cropped-by-semantic-tag\127.png
128,h4,..\..\..\data\cropped-by-semantic-tag\128.png
129,h4,..\..\..\data\cropped-by-semantic-tag\129.png
130,h3,..\..\..\data\cropped-by-semantic-tag\130.png
131,a,..\..\..\data\cropped-by-semantic-tag\131.png
132,a,..\..\..\data\cropped-by-semantic-tag\132.png
133,h3,..\..\..\data\cropped-by-semantic-tag\133.png
